,id,class_no,confidence,frame,x1,y1,x2,y2,center,bottom_center,zone0,zone1,zone2,zone3,zone0_FC,zone1_FC,zone2_FC,zone3_FC,zone0_TC,zone1_TC,zone2_TC,zone3_TC
14,15,2,0.6065639853477478,0,964.305908203125,457.08563232421875,1015.604736328125,496.22479248046875,"(989.96, 476.66)","(989.96, 496.22)",False,False,False,False,9,1,0,3,9,1,0,3
15,16,2,0.6065269112586975,0,194.8431396484375,546.9669189453125,267.63348388671875,595.1886596679688,"(231.24, 571.08)","(231.24, 595.19)",True,False,False,False,9,1,0,3,9,1,0,3
16,17,7,0.6016587018966675,0,216.178955078125,431.6119079589844,287.8077392578125,486.5305480957031,"(251.99, 459.07)","(251.99, 486.53)",True,False,False,False,9,1,0,3,9,1,0,3
17,1,7,0.8890786170959473,1,262.8316345214844,684.8279418945312,902.75146484375,1071.8681640625,"(582.79, 878.35)","(582.79, 1071.87)",False,True,False,False,9,1,0,3,9,1,0,3
18,2,5,0.919786274433136,1,307.4382019042969,485.954833984375,560.8502197265625,614.9103393554688,"(434.14, 550.43)","(434.14, 614.91)",True,False,False,False,9,1,0,3,9,1,0,3
19,3,2,0.8779128193855286,1,960.0806274414062,650.986572265625,1069.1644287109375,748.3983154296875,"(1014.62, 699.69)","(1014.62, 748.4)",False,False,False,False,9,1,0,3,9,1,0,3
20,4,7,0.8165265917778015,1,993.7136840820312,446.0226745605469,1097.6259765625,510.8183288574219,"(1045.67, 478.42)","(1045.67, 510.82)",False,False,False,False,9,1,0,3,9,1,0,3
21,5,2,0.7913392782211304,1,263.17529296875,553.9463500976562,346.9235534667969,615.286376953125,"(305.05, 584.62)","(305.05, 615.29)",True,False,False,False,9,1,0,3,9,1,0,3
22,6,2,0.7805259227752686,1,1422.4359130859375,440.8133850097656,1485.5858154296875,485.8381652832031,"(1454.01, 463.33)","(1454.01, 485.84)",False,False,False,True,9,1,0,3,9,1,0,3
23,7,7,0.777903139591217,1,586.8334350585938,470.2802734375,781.27734375,577.2715454101562,"(684.06, 523.78)","(684.06, 577.27)",True,False,False,False,9,1,0,3,9,1,0,3
24,8,2,0.7271457314491272,1,243.1918182373047,501.20001220703125,315.5088195800781,555.65966796875,"(279.35, 528.43)","(279.35, 555.66)",True,False,False,False,9,1,0,3,9,1,0,3
25,9,7,0.6875777244567871,1,1542.7015380859375,343.80230712890625,1638.2222900390625,427.8406066894531,"(1590.46, 385.82)","(1590.46, 427.84)",False,False,False,True,9,1,0,3,9,1,0,3
26,10,2,0.6811259984970093,1,128.50628662109375,508.5014343261719,204.6143341064453,569.2394409179688,"(166.56, 538.87)","(166.56, 569.24)",True,False,False,False,9,1,0,3,9,1,0,3
27,11,2,0.675442099571228,1,870.5521240234375,450.0639343261719,956.2371215820312,485.9222412109375,"(913.39, 467.99)","(913.39, 485.92)",False,False,False,False,9,1,0,3,9,1,0,3
28,12,7,0.6637451648712158,1,31.5124568939209,441.0262756347656,86.15104675292969,513.31640625,"(58.83, 477.17)","(58.83, 513.32)",True,False,False,False,9,1,0,3,9,1,0,3
29,13,2,0.6440091133117676,1,1476.9195556640625,421.7250671386719,1526.538330078125,460.4544372558594,"(1501.73, 441.09)","(1501.73, 460.45)",False,False,False,True,9,1,0,3,9,1,0,3
30,14,2,0.657370924949646,1,68.54226684570312,488.77490234375,115.41378784179688,535.713623046875,"(91.98, 512.24)","(91.98, 535.71)",True,False,False,False,9,1,0,3,9,1,0,3
31,15,2,0.6019473075866699,1,963.9127197265625,457.1110534667969,1015.6846923828125,496.2324523925781,"(989.8, 476.67)","(989.8, 496.23)",False,False,False,False,9,1,0,3,9,1,0,3
